"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 18 06:51:02 MSK 2023","Sat Mar 18 06:51:09 MSK 2023","6609","","RegisterTest","","RegisterTest","successfulRegistration[Browser: CHROME]","Successful registration",""
"passed","Sat Mar 18 06:50:29 MSK 2023","Sat Mar 18 06:50:39 MSK 2023","9724","","IngredientsTest","","IngredientsTest","openContructorFromProfile[Browser: FIREFOX]","Open constructor from profile page",""
"passed","Sat Mar 18 06:50:38 MSK 2023","Sat Mar 18 06:50:46 MSK 2023","7946","","AccountTest","","AccountTest","openAccountProfilePage[Browser: YANDEX]","Open account profile page from home page",""
"passed","Sat Mar 18 06:50:14 MSK 2023","Sat Mar 18 06:50:25 MSK 2023","10871","","IngredientsTest","","IngredientsTest","ingredientsTabSelection[Browser: CHROME]","Navigating in ingredients menu with tabs",""
"passed","Sat Mar 18 06:50:14 MSK 2023","Sat Mar 18 06:50:29 MSK 2023","15369","","AccountTest","","AccountTest","logoutFromProfilePage[Browser: CHROME]","Logout from profile page",""
"passed","Sat Mar 18 06:50:39 MSK 2023","Sat Mar 18 06:50:47 MSK 2023","8109","","IngredientsTest","","IngredientsTest","openContructorFromProfile[Browser: YANDEX]","Open constructor from profile page",""
"passed","Sat Mar 18 06:51:13 MSK 2023","Sat Mar 18 06:51:21 MSK 2023","7877","","RegisterTest","","RegisterTest","openRegistrationPageFromLoginPage[Browser: YANDEX]","Open registration page from login page",""
"passed","Sat Mar 18 06:51:12 MSK 2023","Sat Mar 18 06:51:23 MSK 2023","11687","","RegisterTest","","RegisterTest","incorrectPasswordError[Browser: FIREFOX]","Incorrect password error",""
"passed","Sat Mar 18 06:50:52 MSK 2023","Sat Mar 18 06:51:01 MSK 2023","8640","","LoginTest","","LoginTest","loginFromForgotPasswordPage[Browser: FIREFOX]","Login from forgot-password page",""
"passed","Sat Mar 18 06:51:02 MSK 2023","Sat Mar 18 06:51:08 MSK 2023","6420","","LoginTest","","LoginTest","loginFromForgotPasswordPage[Browser: YANDEX]","Login from forgot-password page",""
"passed","Sat Mar 18 06:51:02 MSK 2023","Sat Mar 18 06:51:08 MSK 2023","6077","","LoginTest","","LoginTest","loginFromHomePageWithLoginButton[Browser: YANDEX]","Login from home page",""
"passed","Sat Mar 18 06:51:12 MSK 2023","Sat Mar 18 06:51:23 MSK 2023","11506","","RegisterTest","","RegisterTest","openRegistrationPageFromLoginPage[Browser: FIREFOX]","Open registration page from login page",""
"passed","Sat Mar 18 06:51:21 MSK 2023","Sat Mar 18 06:51:25 MSK 2023","4696","","RegisterTest","","RegisterTest","incorrectPasswordError[Browser: YANDEX]","Incorrect password error",""
"passed","Sat Mar 18 06:50:57 MSK 2023","Sat Mar 18 06:51:02 MSK 2023","4515","","LoginTest","","LoginTest","loginFromRegisterPage[Browser: YANDEX]","Login from register page",""
"passed","Sat Mar 18 06:51:08 MSK 2023","Sat Mar 18 06:51:13 MSK 2023","4642","","RegisterTest","","RegisterTest","openRegistrationPageFromLoginPage[Browser: CHROME]","Open registration page from login page",""
"passed","Sat Mar 18 06:51:01 MSK 2023","Sat Mar 18 06:51:12 MSK 2023","10635","","LoginTest","","LoginTest","loginFromLoginPage[Browser: YANDEX]","Login from login page",""
"passed","Sat Mar 18 06:50:14 MSK 2023","Sat Mar 18 06:50:28 MSK 2023","14689","","IngredientsTest","","IngredientsTest","openContructorFromProfile[Browser: CHROME]","Open constructor from profile page",""
"passed","Sat Mar 18 06:51:08 MSK 2023","Sat Mar 18 06:51:13 MSK 2023","4648","","RegisterTest","","RegisterTest","incorrectPasswordError[Browser: CHROME]","Incorrect password error",""
"passed","Sat Mar 18 06:51:12 MSK 2023","Sat Mar 18 06:51:25 MSK 2023","13009","","RegisterTest","","RegisterTest","successfulRegistration[Browser: FIREFOX]","Successful registration",""
"passed","Sat Mar 18 06:51:13 MSK 2023","Sat Mar 18 06:51:23 MSK 2023","10153","","RegisterTest","","RegisterTest","successfulRegistration[Browser: YANDEX]","Successful registration",""
"passed","Sat Mar 18 06:50:14 MSK 2023","Sat Mar 18 06:50:28 MSK 2023","14478","","AccountTest","","AccountTest","openAccountProfilePage[Browser: CHROME]","Open account profile page from home page",""
"passed","Sat Mar 18 06:50:47 MSK 2023","Sat Mar 18 06:50:52 MSK 2023","4992","","LoginTest","","LoginTest","loginFromForgotPasswordPage[Browser: CHROME]","Login from forgot-password page",""
"passed","Sat Mar 18 06:50:49 MSK 2023","Sat Mar 18 06:50:57 MSK 2023","8420","","LoginTest","","LoginTest","loginFromRegisterPage[Browser: FIREFOX]","Login from register page",""
"passed","Sat Mar 18 06:50:29 MSK 2023","Sat Mar 18 06:50:39 MSK 2023","10175","","IngredientsTest","","IngredientsTest","ingredientsTabSelection[Browser: FIREFOX]","Navigating in ingredients menu with tabs",""
"passed","Sat Mar 18 06:50:28 MSK 2023","Sat Mar 18 06:50:38 MSK 2023","9965","","AccountTest","","AccountTest","openAccountProfilePage[Browser: FIREFOX]","Open account profile page from home page",""
"passed","Sat Mar 18 06:50:54 MSK 2023","Sat Mar 18 06:51:02 MSK 2023","8607","","LoginTest","","LoginTest","loginFromHomePageWithLoginButton[Browser: FIREFOX]","Login from home page",""
"passed","Sat Mar 18 06:50:47 MSK 2023","Sat Mar 18 06:50:52 MSK 2023","5383","","LoginTest","","LoginTest","loginFromRegisterPage[Browser: CHROME]","Login from register page",""
"passed","Sat Mar 18 06:50:28 MSK 2023","Sat Mar 18 06:50:38 MSK 2023","9961","","AccountTest","","AccountTest","logoutFromProfilePage[Browser: FIREFOX]","Logout from profile page",""
"passed","Sat Mar 18 06:50:47 MSK 2023","Sat Mar 18 06:50:54 MSK 2023","6945","","LoginTest","","LoginTest","loginFromLoginPage[Browser: CHROME]","Login from login page",""
"passed","Sat Mar 18 06:50:39 MSK 2023","Sat Mar 18 06:50:49 MSK 2023","9251","","IngredientsTest","","IngredientsTest","ingredientsTabSelection[Browser: YANDEX]","Navigating in ingredients menu with tabs",""
"passed","Sat Mar 18 06:50:49 MSK 2023","Sat Mar 18 06:50:55 MSK 2023","5822","","LoginTest","","LoginTest","loginFromHomePageWithLoginButton[Browser: CHROME]","Login from home page",""
"passed","Sat Mar 18 06:50:38 MSK 2023","Sat Mar 18 06:50:46 MSK 2023","7942","","AccountTest","","AccountTest","logoutFromProfilePage[Browser: YANDEX]","Logout from profile page",""
"passed","Sat Mar 18 06:50:52 MSK 2023","Sat Mar 18 06:51:02 MSK 2023","10315","","LoginTest","","LoginTest","loginFromLoginPage[Browser: FIREFOX]","Login from login page",""
